,Population,Poverty Raw,Poverty Rate,COVID Cases,COVID Deaths,Labor Force,Employed,Unemployed,Unemployment Rate,Median Household Income,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
Population,1,0.9646632015250163,-0.109788057,0.9720831090296767,0.9390749426174941,0.9976398352463617,0.9972995256543161,0.9748515177361513,0.025917385428235108,0.2902079630798644,0.940168831,0.9817975875641589,0.9903376761199837,0.9715652495150081,-0.033685504,-0.317350788,-0.156743968,0.3381144260200487
Poverty Raw,0.9646632015250163,1,-0.016627172,0.9499457868765246,0.9225480390575538,0.9544292949727631,0.9523388964148141,0.9724934175103688,0.071298632,0.16912343693780518,0.9583054181081666,0.9658082230208459,0.9513459377944204,0.9072069852862681,0.023770341,-0.257955937,-0.140052065,0.2537301568953934
Poverty Rate,-0.109788057,-0.016627172,1,-0.089399242,-0.081941294,-0.117771556,-0.119742022,-0.069663403,0.45455886022360925,-0.787658155,-0.029658143,-0.098141298,-0.115765773,-0.137207002,0.6176362759952961,0.383310727,-0.194185085,-0.52045129
COVID Cases,0.9720831090296767,0.9499457868765246,-0.089399242,1,0.9217534442839932,0.9704620272343242,0.969401785,0.9672449007675036,0.020000273885037164,0.2460306136437297,0.9638219579370718,0.9498351105374706,0.9609243587343479,0.9439461704484918,-0.019923626,-0.2715482,-0.127015757,0.28157758802844207
COVID Deaths,0.9390749426174941,0.9225480390575538,-0.081941294,0.9217534442839932,1,0.9309845297806291,0.9303125670157115,0.9199518053558502,0.037019066020693894,0.21244103135615455,0.889142262,0.9613718944740942,0.9549424832391998,0.8823377159129535,-0.028474703,-0.247966904,-0.110705421,0.25995982995193156
Labor Force,0.9976398352463617,0.9544292949727631,-0.117771556,0.9704620272343242,0.9309845297806291,1,0.9999434730712854,0.970729267,0.012499982053886841,0.3003541545297399,0.9326098312284143,0.9731329486574584,0.9845934093114518,0.9799275617456736,-0.041247935,-0.32161286,-0.161281796,0.34848710716983616
Employed,0.9972995256543161,0.9523388964148141,-0.119742022,0.969401785,0.9303125670157115,0.9999434730712854,1,0.9681207124138811,0.009671867,0.303255069,0.9297519960850064,0.9722743162834214,0.9843728893775475,0.9805914248222729,-0.043109739,-0.32381874,-0.162151186,0.351607851
Unemployed,0.9748515177361513,0.9724934175103688,-0.069663403,0.9672449007675036,0.9199518053558502,0.970729267,0.9681207124138811,1,0.076001957,0.22565079954795358,0.9686759804408216,0.9628015629287795,0.9594977207693629,0.9349972266374473,0.002068058,-0.261960097,-0.136716509,0.2673477123538089
Unemployment Rate,0.025917385428235108,0.071298632,0.45455886022360925,0.020000273885037164,0.037019066020693894,0.012499982053886841,0.009671867,0.076001957,1,-0.330901743,0.067353149,0.048038060278257605,0.028953499,-0.00660316,0.36076920533899387,0.2029846700781107,-0.106454151,-0.292889256
Median Household Income,0.2902079630798644,0.16912343693780518,-0.787658155,0.2460306136437297,0.21244103135615455,0.3003541545297399,0.303255069,0.22565079954795358,-0.330901743,1,0.16329110252655413,0.2524466776818574,0.2793989451348046,0.3463351754665354,-0.499167597,-0.586968436,-0.023521638,0.7225275794427473
