,Poverty Rate,Percent Deaths of Cases,COVID Cases,COVID Deaths,Labor Force,Employed,Unemployment Rate,Median Household Income,"Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
Poverty Rate,1.0,0.07285453902778508,0.049944359152549675,0.2578645146836229,-0.14915703073498124,-0.1520526859515575,0.4551917378051155,-0.7896489432344592,0.6170030408785684,0.3841093848163464,-0.19609575337763818,-0.5223781467980384
Percent Deaths of Cases,0.07285453902778508,1.0,-0.07939346108896313,0.48660709367914606,-0.018285491448696956,-0.017431721298760278,-0.031051977424249682,-0.1953792167749222,0.05770952224927335,0.17638056082358655,0.06353710391913024,-0.1972474203527438
COVID Cases,0.049944359152549675,-0.07939346108896313,1.0,0.5161998960289519,0.9148978168862846,0.9132474116211203,0.04460615785648852,0.0019545640343008883,0.04058119385484032,-0.008770153604405364,0.07683362921219014,-0.055127315156783624
COVID Deaths,0.2578645146836229,0.48660709367914606,0.5161998960289519,1.0,0.4646092488822193,0.4641526179877679,0.07903422082543685,-0.34044146539979125,0.18768206802365145,0.2979440140466432,0.06477854057285375,-0.3599935736253024
Labor Force,-0.14915703073498124,-0.018285491448696956,0.9148978168862846,0.4646092488822193,1.0,0.9999211544943429,-0.17225779304236488,0.14008683578407757,-0.10517975331291644,-0.10439224176797929,0.15757070601748832,0.054147257232374214
Employed,-0.1520526859515575,-0.017431721298760278,0.9132474116211203,0.4641526179877679,0.9999211544943429,1.0,-0.18332097633926628,0.14175751475961773,-0.10772726521539071,-0.10530715513691936,0.1584161613552019,0.05577913133161064
Unemployment Rate,0.4551917378051155,-0.031051977424249682,0.04460615785648852,0.07903422082543685,-0.17225779304236488,-0.18332097633926628,1.0,-0.33634799537380866,0.3624890353848753,0.2081430177291258,-0.10434139087951817,-0.29929874616188035
Median Household Income,-0.7896489432344592,-0.1953792167749222,0.0019545640343008883,-0.34044146539979125,0.14008683578407757,0.14175751475961773,-0.33634799537380866,1.0,-0.49940273550773495,-0.5858770706929552,-0.016384595057503407,0.7209900283623766
"Percent of adults who are not high school graduates, 2019-23",0.6170030408785684,0.05770952224927335,0.04058119385484032,0.18768206802365145,-0.10517975331291644,-0.10772726521539071,0.3624890353848753,-0.49940273550773495,1.0,0.3015735360061406,-0.37700423521508325,-0.5737670204172937
"Percent of adults who are high school graduates (or equivalent), 2019-23",0.3841093848163464,0.17638056082358655,-0.008770153604405364,0.2979440140466432,-0.10439224176797929,-0.10530715513691936,0.2081430177291258,-0.5858770706929552,0.3015735360061406,1.0,-0.21209713740587186,-0.8081426080933745
"Percent of adults completing some college or associate degree, 2019-23",-0.19609575337763818,0.06353710391913024,0.07683362921219014,0.06477854057285375,0.15757070601748832,0.1584161613552019,-0.10434139087951817,-0.016384595057503407,-0.37700423521508325,-0.21209713740587186,1.0,-0.15354917076363062
"Percent of adults with a bachelor's degree or higher, 2019-23",-0.5223781467980384,-0.1972474203527438,-0.055127315156783624,-0.3599935736253024,0.054147257232374214,0.05577913133161064,-0.29929874616188035,0.7209900283623766,-0.5737670204172937,-0.8081426080933745,-0.15354917076363062,1.0
