FIPS,State,County,Predicted COVID Cases,Amount Over / Under (Cases),Population
1001,AL,Autauga County,6612.0,-1331.0,59726
1003,AL,Baldwin County,26247.0,-1338.0,246531
1005,AL,Barbour County,3182.0,15.0,24700
1007,AL,Bibb County,2739.0,-420.0,21986
1009,AL,Blount County,7270.0,795.0,59516
1011,AL,Bullock County,1849.0,639.0,10143
1013,AL,Butler County,3040.0,468.0,18668
1015,AL,Calhoun County,13429.0,-2618.0,115780
1017,AL,Chambers County,4649.0,509.0,34164
1019,AL,Cherokee County,2993.0,-78.0,25353
1021,AL,Chilton County,5624.0,452.0,45848
1023,AL,Choctaw County,1977.0,799.0,12431
1025,AL,Clarke County,3094.0,-146.0,22574
1027,AL,Clay County,2035.0,-248.0,14183
1029,AL,Cleburne County,1958.0,385.0,15372
1031,AL,Coffee County,6468.0,-78.0,54840
1033,AL,Colbert County,7172.0,-3171.0,57993
1035,AL,Conecuh County,1901.0,474.0,11224
1037,AL,Coosa County,1770.0,75.0,10307
1039,AL,Covington County,5122.0,1011.0,37603
1041,AL,Crenshaw County,2114.0,334.0,13048
1043,AL,Cullman County,11466.0,-1676.0,90663
1045,AL,Dale County,6293.0,-103.0,49495
1047,AL,Dallas County,5575.0,779.0,36729
1049,AL,DeKalb County,9537.0,1337.0,72082
1051,AL,Elmore County,9752.0,-2063.0,89600
1053,AL,Escambia County,5033.0,433.0,36636
1055,AL,Etowah County,12380.0,-62.0,102903
1057,AL,Fayette County,2131.0,-146.0,16082
1059,AL,Franklin County,3974.0,-1031.0,31910
1061,AL,Geneva County,3028.0,197.0,26760
1063,AL,Greene County,1666.0,839.0,7452
1065,AL,Hale County,2106.0,-108.0,14599
1067,AL,Henry County,2201.0,-52.0,17670
1069,AL,Houston County,12508.0,-22.0,108047
1071,AL,Jackson County,5954.0,-934.0,52923
1073,AL,Jefferson County,95794.0,-3499.0,665084
1075,AL,Lamar County,2035.0,76.0,13706
1077,AL,Lauderdale County,10784.0,-2474.0,95875
1079,AL,Lawrence County,4201.0,170.0,33187
1081,AL,Lee County,20666.0,2290.0,180698
1083,AL,Limestone County,12650.0,-947.0,110868
1085,AL,Lowndes County,1849.0,577.0,9783
1087,AL,Macon County,3094.0,767.0,18532
1089,AL,Madison County,45029.0,-8427.0,403605
1091,AL,Marengo County,2509.0,123.0,18791
1093,AL,Marion County,3489.0,-640.0,29182
1095,AL,Marshall County,12410.0,291.0,99428
