FIPS,State,County,Predicted COVID Cases,Amount Over / Under (Cases),Population
1001,AL,Autauga County,6202.0,-1741.0,59726
1003,AL,Baldwin County,28747.0,1162.0,246531
1005,AL,Barbour County,3637.0,470.0,24700
1007,AL,Bibb County,2616.0,-543.0,21986
1009,AL,Blount County,8158.0,1683.0,59516
1011,AL,Bullock County,1404.0,194.0,10143
1013,AL,Butler County,3031.0,459.0,18668
1015,AL,Calhoun County,12527.0,-3520.0,115780
1017,AL,Chambers County,4474.0,334.0,34164
1019,AL,Cherokee County,2641.0,-430.0,25353
1021,AL,Chilton County,5989.0,817.0,45848
1023,AL,Choctaw County,1494.0,316.0,12431
1025,AL,Clarke County,3115.0,-125.0,22574
1027,AL,Clay County,1660.0,-623.0,14183
1029,AL,Cleburne County,1655.0,82.0,15372
1031,AL,Coffee County,7209.0,663.0,54840
1033,AL,Colbert County,7209.0,-3134.0,57993
1035,AL,Conecuh County,1710.0,283.0,11224
1037,AL,Coosa County,1289.0,-406.0,10307
1039,AL,Covington County,5425.0,1314.0,37603
1041,AL,Crenshaw County,1876.0,96.0,13048
1043,AL,Cullman County,8964.0,-4178.0,90663
1045,AL,Dale County,6268.0,-128.0,49495
1047,AL,Dallas County,4673.0,-123.0,36729
1049,AL,DeKalb County,8273.0,73.0,72082
1051,AL,Elmore County,8020.0,-3795.0,89600
1053,AL,Escambia County,4986.0,386.0,36636
1055,AL,Etowah County,10088.0,-2354.0,102903
1057,AL,Fayette County,1871.0,-406.0,16082
1059,AL,Franklin County,4203.0,-802.0,31910
1061,AL,Geneva County,3065.0,234.0,26760
1063,AL,Greene County,1345.0,518.0,7452
1065,AL,Hale County,2049.0,-165.0,14599
1067,AL,Henry County,1876.0,-377.0,17670
1069,AL,Houston County,11780.0,-750.0,108047
1071,AL,Jackson County,6274.0,-614.0,52923
1073,AL,Jefferson County,96570.0,-2723.0,665084
1075,AL,Lamar County,1655.0,-304.0,13706
1077,AL,Lauderdale County,10836.0,-2422.0,95875
1079,AL,Lawrence County,3681.0,-350.0,33187
1081,AL,Lee County,23284.0,4908.0,180698
1083,AL,Limestone County,10656.0,-2941.0,110868
1085,AL,Lowndes County,1581.0,309.0,9783
1087,AL,Macon County,2804.0,477.0,18532
