FIPS,State,County,Population,Poverty Raw,Poverty Rate,COVID Cases,COVID Deaths,Labor Force,Employed,Unemployed,Unemployment Rate,Median Household Income,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",Predicted Cases,Predicted Deaths,Cases Error,Deaths Error
1001,AL,Autauga County,59726,6988.0,0.117,7943.0,70.0,26656.0,26065.0,591.0,2.2,70148.0,3963.0,13321.0,11953.0,11530.0,9.721097947,32.67593887,29.32028356,28.28267962,8408.737,58.079536,465.7373046875,-11.920463562011719
1003,AL,Baldwin County,246531,30195.0,0.1225,27585.0,126.0,102280.0,99930.0,2350.0,2.3,71704.0,14221.0,47369.0,53990.0,56408.0,8.268600135,27.54203782,31.391725,32.79763704,27454.002,128.1297,-130.998046875,2.12969970703125
1005,AL,Barbour County,24700,5860.0,0.2372,3167.0,30.0,8139.0,7813.0,326.0,4.0,41151.0,3911.0,6629.0,5067.0,2021.0,22.18629453,37.60494668,28.74404357,11.46471523,3141.3604,30.101114,-25.6396484375,0.10111427307128906
1007,AL,Bibb County,21986,3979.0,0.181,3159.0,13.0,8688.0,8476.0,212.0,2.4,54309.0,3132.0,6552.0,4420.0,1827.0,19.65978281,41.12736175,27.7446488,11.46820664,2942.814,13.299709,-216.18603515625,0.2997093200683594
1009,AL,Blount County,59516,8022.0,0.1348,6475.0,62.0,25685.0,25128.0,557.0,2.2,60553.0,7093.0,14600.0,12912.0,6386.0,17.30379839,35.61757459,31.49959747,15.57902954,6174.5728,65.713394,-300.42724609375,3.7133941650390625
1011,AL,Bullock County,10143,2670.0,0.2632,1210.0,8.0,4541.0,4416.0,125.0,2.8,35798.0,1915.0,2994.0,1805.0,664.0,25.95554351,40.58010301,24.46462456,8.999728924,1195.091,9.303121,-14.9090576171875,1.3031206130981445
1013,AL,Butler County,18668,4298.0,0.2302,2572.0,28.0,8811.0,8518.0,293.0,3.3,41852.0,1633.0,6182.0,3537.0,1812.0,12.40504406,46.96140991,26.86873291,13.76481313,2521.1953,29.024395,-50.8046875,1.0243949890136719
1015,AL,Calhoun County,115780,20308.0,0.1754,16047.0,133.0,45733.0,44371.0,1362.0,3.0,52772.0,10940.0,27117.0,24416.0,16154.0,13.91379552,34.48815292,31.05294619,20.54510537,15641.692,133.63295,-405.3076171875,0.6329498291015625
1017,AL,Chambers County,34164,6962.0,0.2038,4140.0,27.0,15906.0,15508.0,398.0,2.5,45563.0,4010.0,9415.0,7488.0,3571.0,16.3780428,38.45368404,30.58323803,14.58503512,4376.054,31.228384,236.05419921875,4.228384017944336
1019,AL,Cherokee County,25353,3862.0,0.1523,3071.0,68.0,11723.0,11457.0,266.0,2.3,52613.0,3029.0,7015.0,5739.0,2994.0,16.1314374,37.3595356,30.56398786,15.94503914,2823.2688,61.523502,-247.731201171875,-6.476497650146484
1021,AL,Chilton County,45848,7158.0,0.1561,5172.0,50.0,20180.0,19732.0,448.0,2.2,61823.0,4862.0,12680.0,8517.0,4688.0,15.81292484,41.23979575,27.70026344,15.24701597,5141.8477,48.216965,-30.15234375,-1.7830352783203125
1023,AL,Choctaw County,12431,2554.0,0.2055,1178.0,33.0,4325.0,4164.0,161.0,3.7,44458.0,1420.0,3642.0,2684.0,1252.0,15.78128473,40.47566126,29.82885086,13.91420316,1196.4913,29.67433,18.4913330078125,-3.3256702423095703
1025,AL,Clarke County,22574,5204.0,0.2305,3240.0,25.0,7676.0,7302.0,374.0,4.9,44906.0,2352.0,6765.0,4386.0,2463.0,14.73130402,42.37128899,27.47087561,15.42653138,3006.9712,30.746649,-233.02880859375,5.746648788452148
1027,AL,Clay County,14183,2371.0,0.1672,2283.0,21.0,6106.0,5971.0,135.0,2.2,49599.0,1769.0,3797.0,3130.0,1563.0,17.24339604,37.01140462,30.50979628,15.23540306,1809.2546,19.852486,-473.745361328125,-1.1475143432617188
1029,AL,Cleburne County,15372,2370.0,0.1542,1573.0,14.0,6133.0,5989.0,144.0,2.3,49248.0,1586.0,4230.0,3067.0,1978.0,14.60270693,38.94668999,28.23865206,18.21195102,1596.7888,24.515583,23.788818359375,10.515583038330078
1031,AL,Coffee County,54840,8492.0,0.1549,6546.0,48.0,21624.0,21090.0,534.0,2.5,62429.0,5158.0,10732.0,13069.0,7945.0,13.97680468,29.08085844,35.41350531,21.52883156,6474.862,49.99436,-71.13818359375,1.9943618774414062
1033,AL,Colbert County,57993,9962.0,0.1718,10343.0,61.0,23749.0,23047.0,702.0,3.0,54593.0,5102.0,14160.0,13409.0,8307.0,12.45058324,34.55512714,32.72243643,20.27185319,9603.1455,64.51567,-739.8544921875,3.5156707763671875
1035,AL,Conecuh County,11224,3329.0,0.2966,1427.0,13.0,4252.0,4106.0,146.0,3.4,36106.0,1017.0,3908.0,2135.0,1067.0,12.51384275,48.08662483,26.2704565,13.12907592,1481.47,21.156729,54.469970703125,8.156728744506836
1037,AL,Coosa County,10307,1813.0,0.1759,1695.0,14.0,4463.0,4353.0,110.0,2.5,49485.0,1367.0,3135.0,2253.0,1180.0,17.22747322,39.50850662,28.39319471,14.87082546,1249.783,14.441297,-445.217041015625,0.4412965774536133
1039,AL,Covington County,37603,7071.0,0.188,4111.0,66.0,15080.0,14692.0,388.0,2.6,46958.0,3656.0,9745.0,8513.0,4545.0,13.8176046,36.83056805,32.17430742,17.17751994,4274.8486,60.41106,163.8486328125,-5.588939666748047
1041,AL,Crenshaw County,13048,2762.0,0.2117,1780.0,29.0,5965.0,5805.0,160.0,2.7,49161.0,1586.0,3760.0,2228.0,1530.0,17.42091388,41.30052724,24.47275923,16.80579965,1700.2505,27.713121,-79.74951171875,-1.2868785858154297
1043,AL,Cullman County,90663,14478.0,0.1597,13142.0,81.0,39477.0,38688.0,789.0,2.0,61774.0,9363.0,19333.0,21794.0,11910.0,15.00480769,30.98237179,34.92628205,19.08653846,12854.907,82.47725,-287.0927734375,1.4772491455078125
1045,AL,Dale County,49495,9965.0,0.2013,6396.0,51.0,21026.0,20490.0,536.0,2.5,50567.0,4830.0,10549.0,11914.0,6539.0,14.27642469,31.18053913,35.21518089,19.32785528,6881.4253,51.343376,485.42529296875,0.34337615966796875
1047,AL,Dallas County,36729,11945.0,0.3252,4796.0,44.0,13733.0,13058.0,675.0,4.9,35258.0,3301.0,9958.0,7910.0,4338.0,12.94154546,39.04026346,31.01109499,17.00709609,5015.114,45.57617,219.11376953125,1.576171875
1049,AL,DeKalb County,72082,13248.0,0.1838,8200.0,72.0,30958.0,30249.0,709.0,2.3,50037.0,10204.0,16307.0,15226.0,6727.0,21.05480357,33.64765599,31.41713437,13.88040607,8194.844,72.54084,-5.15625,0.5408401489257812
1051,AL,Elmore County,89600,9779.0,0.1091,11815.0,63.0,38045.0,37230.0,815.0,2.1,71463.0,6446.0,21341.0,19025.0,15104.0,10.41087926,34.46766587,30.72711415,24.39434072,10865.813,69.771706,-949.1865234375,6.771705627441406
1053,AL,Escambia County,36636,7224.0,0.1972,4600.0,43.0,14198.0,13769.0,429.0,3.0,47792.0,4454.0,11014.0,6846.0,3185.0,17.46735166,43.19385074,26.84811169,12.49068591,4400.3247,42.598797,-199.67529296875,-0.4012031555175781
1055,AL,Etowah County,102903,17990.0,0.1748,12442.0,159.0,39123.0,37967.0,1156.0,3.0,55487.0,10321.0,24651.0,24915.0,12683.0,14.22213036,33.96858206,34.33236875,17.47691884,12599.428,152.79147,157.427734375,-6.208526611328125
1057,AL,Fayette County,16082,3092.0,0.1923,2277.0,13.0,6583.0,6408.0,175.0,2.7,49205.0,1657.0,4252.0,3561.0,1750.0,14.76827094,37.89661319,31.73796791,15.59714795,1987.4603,19.56719,-289.5396728515625,6.567190170288086
1059,AL,Franklin County,31910,5804.0,0.1819,5005.0,38.0,14532.0,14200.0,332.0,2.3,49611.0,4340.0,8336.0,5330.0,3150.0,20.51427491,39.40253356,25.19379845,14.88939308,3792.629,48.79634,-1212.37109375,10.796340942382812
1061,AL,Geneva County,26760,4926.0,0.1841,2831.0,34.0,11187.0,10925.0,262.0,2.3,51585.0,3185.0,7086.0,6172.0,2526.0,16.79055301,37.35568559,32.5372977,13.3164637,2840.4304,43.150845,9.430419921875,9.15084457397461
1063,AL,Greene County,7452,2206.0,0.296,827.0,8.0,2757.0,2641.0,116.0,4.2,35449.0,949.0,2407.0,1260.0,658.0,17.9939325,45.63898369,23.89078498,12.47629882,878.16644,10.757362,51.16644287109375,2.7573623657226562
1065,AL,Hale County,14599,3294.0,0.2256,2214.0,19.0,5940.0,5714.0,226.0,3.8,44702.0,1805.0,3812.0,2679.0,1672.0,18.10794543,38.2423756,26.87600321,16.77367576,2495.2397,22.445274,281.23974609375,3.4452743530273438
1067,AL,Henry County,17670,2754.0,0.1559,2253.0,13.0,7003.0,6817.0,186.0,2.7,56702.0,2260.0,4119.0,3585.0,2758.0,17.76450244,32.37698475,28.17953152,21.67898129,1935.897,14.721229,-317.10302734375,1.7212285995483398
1069,AL,Houston County,108047,18465.0,0.1709,12530.0,94.0,47661.0,46452.0,1209.0,2.5,56842.0,9386.0,23903.0,24241.0,16960.0,12.60034904,32.08887099,32.54262317,22.7681568,13015.802,98.88475,485.8017578125,4.8847503662109375
1071,AL,Jackson County,52923,8434.0,0.1594,6888.0,75.0,23233.0,22666.0,567.0,2.4,51965.0,6799.0,14353.0,10846.0,5892.0,17.94404856,37.88070731,28.62496701,15.55027712,6953.342,73.61741,65.341796875,-1.3825912475585938
