FIPS,State,County,Population,Poverty Raw,Poverty Rate,COVID Cases,COVID Deaths,Labor Force,Employed,Unemployed,Unemployment Rate,Median Household Income,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
1001,AL,Autauga County,59726,,0.117,7943.0,70.0,26656.0,26065.0,591.0,2.2,70148.0,3963.0,13321.0,11953.0,11530.0,9.721097947,32.67593887,29.32028356,28.28267962
1003,AL,Baldwin County,246531,,0.1225,27585.0,126.0,102280.0,99930.0,2350.0,2.3,71704.0,14221.0,47369.0,53990.0,56408.0,8.268600135,27.54203782,31.391725,32.79763704
1005,AL,Barbour County,24700,,0.2372,3167.0,30.0,8139.0,7813.0,326.0,4.0,41151.0,3911.0,6629.0,5067.0,2021.0,22.18629453,37.60494668,28.74404357,11.46471523
1007,AL,Bibb County,21986,,0.181,3159.0,13.0,8688.0,8476.0,212.0,2.4,54309.0,3132.0,6552.0,4420.0,1827.0,19.65978281,41.12736175,27.7446488,11.46820664
1009,AL,Blount County,59516,,0.1348,6475.0,62.0,25685.0,25128.0,557.0,2.2,60553.0,7093.0,14600.0,12912.0,6386.0,17.30379839,35.61757459,31.49959747,15.57902954
1011,AL,Bullock County,10143,,0.2632,1210.0,8.0,4541.0,4416.0,125.0,2.8,35798.0,1915.0,2994.0,1805.0,664.0,25.95554351,40.58010301,24.46462456,8.999728924
1013,AL,Butler County,18668,,0.2302,2572.0,28.0,8811.0,8518.0,293.0,3.3,41852.0,1633.0,6182.0,3537.0,1812.0,12.40504406,46.96140991,26.86873291,13.76481313
1015,AL,Calhoun County,115780,,0.1754,16047.0,133.0,45733.0,44371.0,1362.0,3.0,52772.0,10940.0,27117.0,24416.0,16154.0,13.91379552,34.48815292,31.05294619,20.54510537
1017,AL,Chambers County,34164,,0.2038,4140.0,27.0,15906.0,15508.0,398.0,2.5,45563.0,4010.0,9415.0,7488.0,3571.0,16.3780428,38.45368404,30.58323803,14.58503512
1019,AL,Cherokee County,25353,,0.1523,3071.0,68.0,11723.0,11457.0,266.0,2.3,52613.0,3029.0,7015.0,5739.0,2994.0,16.1314374,37.3595356,30.56398786,15.94503914
